Headline,Link,Summary,Scraped_Date,Classified
EBM lägger ner åtal mot en i härvan: ”Hon har mått dåligt”,https://omni.se/ebm-lagger-ner-atal-mot-en-i-harvan-hon-har-matt-daligt/a/KMO41E,"Ekobrottsmyndigheten har lagt ner åtalet mot en av de fyra misstänkta i insiderhärvan där en tidigare anställd på Nasdaq åtalats för grovt insiderbrott, skriver Affärsvärlden.",2025-10-15,False
Sjöfartsbråk eskalerar USA:s och Kinas konfikt,https://omni.se/sjofartsbrak-eskalerar-konflikten-mellan-usa-och-kina/a/PpkGbe,"Kina inför sanktioner mot fem amerikanska dotterbolag kopplade till det sydkoreanska börsnoterade varvet Hanwha Ocean och inför nya hamnavgifter, rapporterar CNBC.",2025-10-15,False
Bessents känga: ”Visar hur svag Kinas ekonomi är”,https://omni.se/bessents-kanga-ett-tecken-pa-hur-svag-deras-ekonomi-ar/a/25LeGl,Kinas nya åtgärder för att skärpa kontrollen av sällsynta jordartsmetaller är ett sätt för landet att skada världsekonomin genom att slå till mot globala leveranskedjor. Det säger USA:s finansminister Scott Bessent i en intervju med Financial Times.,2025-10-15,False
Aktiespararnas chefsjurist: ”Stora insiderskandaler ökar”,https://omni.se/aktiespararnas-chefsjurist-stora-insiderskandaler-okar/a/0VMx1E,Förtroendet för aktiemarknaden i stort riskerar att skadas efter att de nya misstankarna om insiderhandel i EQT läggs till en lång rad tidigare härvor. Det säger Aktiespararnas chefsjurist Sverre Linton till DI.,2025-10-15,False
Analytiker: SEB riskerar dryga böter i härva,https://omni.se/analytiker-seb-riskerar-dryga-boter-i-misstankt-harva/a/8qrkLW,Att SEB pekas ut som en aktör i en misstänkt insiderhärva är ”förstås väldigt allvarligt” för storbanken. Det anser en anonym kreditanalytiker som Bloomberg har talat med.,2025-10-15,False
EBM utreder insiderbrott – åtta delgivna misstanke,https://omni.se/ebm-utreder-misstankt-insiderbrott-i-blocktransaktioner/a/dRx2Qq,Kunder till SEB utreds för misstänkt insiderbrott gällande så kallade blocktransaktioner i ett ”större börsbolag”. Det skriver Ekobrottsmyndigheten i ett pressmeddelande och bekräftar för Omni Ekonomi att det rör sig om kunder till SEB.,2025-10-15,False
Ikea-toppen nomineras till chef för FN:s flyktingorgan,https://omni.se/ikea-toppen-nomineras-till-chef-for-fn-s-flyktingorgan/a/o3jG9j,"Jesper Brodin, avgående vd för Ikeasfären Ingka, har nominerats till chef för FN:s flyktingorgan UNHCR. Han backas av regeringen, där bistånds- och utrikeshandelsminister Benjamin Dousa (M) uppger för DI att Brodin har ett ”starkt cv”.",2025-10-15,False
Kross från Ericsson – kassa sväller till 52 miljarder,https://omni.se/07-00-ska-ericsson-lansera-ett-aterkopsprogram/a/4B5JPe,"Ericsson slog estimaten gällande både omsättning och vinst i sitt tredje kvartal. Omsättningen minskade 9 procent på årsbasis, vilket var ett mindre tapp än befarat.",2025-10-15,False
Oro i Boden: ”Inte roligt att de har utmaningar”,https://omni.se/oro-i-boden-aldrig-roligt-att-hora-att-de-har-utmaningar/a/JbV4J8,"Uppgifterna om att Stegra är ekonomiskt pressat oroar Bodens kommun, enligt EFN.",2025-10-15,False
Guldpriset slår nytt rekord – 4 100 dollar per uns,https://omni.se/guldpriset-slar-nytt-rekord-4-100-dollar-per-uns/a/jQ677o,"Spotpriset på guld har passerat den nya rekordnivån 4 100 dollar per uns, enligt Infronts börsdata.",2025-10-15,False
